Tally Reports You Can Ask For,,,,,,
"Every ready-made report available today, written in plain language. Use the filter arrows on row 4 to jump to a category. 'Template No.' is the internal reference number - quote it when reporting an issue.",,,,,,
Sales,13,Today's sales and number of bills,The daily headline number - how much you sold today and across how many invoices.,Total sales value and invoice count for today.,Nothing - runs as is,Give me today's total sales & invoice count.
Sales,15,Last month's sales register,"Every sale made last month, invoice by invoice.","Date, invoice number, customer, item details, taxable value, tax, total.",Nothing - runs as is,Previous month sales register with details
Sales,18,Sales transaction data,A general pull of sales transactions when you just want the raw entries.,"Sales voucher entries with date, party and amount.",Nothing - runs as is,give data of sales trasaction
Sales,23,All sales invoices with full details,"The complete sales book with item lines, useful for detailed analysis or audit.","Voucher number, date, party, items, quantity, rate, tax, total.",Nothing - runs as is,Get all sales vouchers with details
Sales,29,"What each customer has bought, item by item",The buying history of every customer - handy for repeat-order calls and upselling.,"Customer name, item name, quantity, value, last purchase date.",Nothing - runs as is,customer wise purchase history of all items
Sales,39,"Day-by-day sales, including zero-sale days",A full daily sales calendar that also shows the days nothing was sold - so gaps are visible.,"Date and sales amount for every day in the period, blanks shown as zero.",Nothing - runs as is,Show daily sales including days with no transactions.
Sales,51,Sales invoices for a date range (with item lines),"The sales book for any period you choose, down to each item line.","Voucher number, date, party, item, quantity, rate, tax, total.",From date and To date,Get all sales vouchers with line item details between {{cust_from_date}} to {{cust_to_date}}
Sales,59,Customer-wise sales summary (calculated),A roll-up of total business done with each customer. Calculated inside the system from your party and sales data - not a direct Tally report.,Customer name with total sales value and number of invoices.,Nothing - runs as is,Computed rollup (not a Tally pull). Reads Parties sheet and Sales Voucher headers
Sales,60,Item-wise sales summary (calculated),"Which products are actually selling, and how much each contributes. Calculated from your item master and sales lines.",Item name with total quantity sold and total value.,Nothing - runs as is,Computed rollup (not a Tally pull). Reads Items sheet and VoucherLines from Sales Vouchers
Purchases,21,Last 90 days of purchases from a vendor,A quarter's worth of buying history from your suppliers.,"Purchase voucher number, date, vendor, amount.",Nothing - runs as is,Get last 90 days purchase vouchers for vendor
Purchases,24,This financial year's purchases,Everything you have bought since the start of the current financial year.,"Purchase vouchers with date, vendor, amount.",Nothing - runs as is,Get all purchase vouchers for this finincial year
Purchases,40,Day-by-day purchase amounts,How much you spent on purchases each day.,Date and purchase amount.,Nothing - runs as is,Show daily purchase amounts.
Purchases,52,Purchase invoices for a date range (with item lines),"The purchase book for any period you choose, down to each item line.","Voucher number, date, vendor, item, quantity, rate, tax, total.",From date and To date,Get all purchase vouchers with line item details between {{cust_from_date}} to {{cust_to_date}}
Expenses,6,Today's expenses with head-wise break-up,What you spent today and exactly which expense heads it went into.,Total expense for today plus amount under each expense head.,Nothing - runs as is,Give me today's total expenses and the breakdown by expense heads.
Expenses,12,Expense summary by ledger,"All expenses grouped by account name, so you can see where the money is going.",Ledger name with total expense amount.,Nothing - runs as is,Give me expense ledger summary grouped by Ledger Name
Expenses,45,Reimbursement audit for a period,A check on staff/expense reimbursements claimed in a chosen period - useful for spotting duplicates or unusual claims.,"Reimbursement entries with date, person/ledger, amount and flags.",From date and To date,What is Reimbursement audit between {{cust_from_date}} and {{cust_to_date}}
"Cash, Bank & Payments",8,Payment voucher data,"Every payment you have made - who was paid, when and how much.","Payment voucher number, date, party, ledger, amount.",Nothing - runs as is,Give me PAYMENT voucher data
"Cash, Bank & Payments",14,Cash and bank balances (overall and today),How much cash is in hand and what is sitting in each bank account.,"Cash ledger balance and every bank account balance, overall and as on today.",Nothing - runs as is,Provide all overall as well as today's cash ledger balance and all bank balances
"Cash, Bank & Payments",17,Bank entries for the last 30 days,A month of bank movement - all credits and debits.,"Date, voucher number, particulars, debit, credit, running balance.",Nothing - runs as is,Provide me bank ledger entries for the last 30 days
"Cash, Bank & Payments",27,Cash position and expected incoming money,Where your cash stood last week and what collections are expected day by day - a mini cash-flow view.,Current cash position plus a daily expected inflow schedule.,Nothing - runs as is,Get current cash position of last week Also Return daily expected inflow schedule.
"Cash, Bank & Payments",38,Opening and closing balances of cash and bank,What you started with and what you ended with in each cash and bank account.,"Account name, opening balance, closing balance.",Nothing - runs as is,What is the opening and closing balance of bank and cash accounts?
"Cash, Bank & Payments",50,List of all cash and bank accounts with balances,"Every cash-in-hand and bank ledger you maintain, with the current balance of each.","Ledger name, account type, current balance.",Nothing - runs as is,Get all cash-in-hand and bank account ledgers with current balances
"Cash, Bank & Payments",53,Receipts and payments for a date range,All money received and all money paid out in a period you choose.,"Voucher number, date, party, ledger, amount, type (receipt/payment).",From date and To date,Get all receipt and payment vouchers between {{cust_from_date}} to {{cust_to_date}}
"Cash, Bank & Payments",63,Bank statement for a date range,A bank-statement style view straight from your books for any period.,"Date, particulars, debit, credit, balance.",From date and To date,Get bank statement data between {{cust_from_date}} to {{cust_to_date}}
Inventory & Stock,9,Closing stock by location / branch,What stock is lying where at the end of the period.,Location/branch with item-wise closing quantity and value.,Nothing - runs as is,Give me the closing stock summary for all stock locations/branches.
Inventory & Stock,22,Batch-wise stock details,Stock split by batch - important where expiry or batch tracking matters.,"Item, batch number, quantity, expiry date, value.",Nothing - runs as is,Get all batch-wise inventory details
Inventory & Stock,55,All items with groups and current stock,Your full item master along with how much of each is in hand right now.,"Item name, stock group, unit, closing quantity, value.",Nothing - runs as is,Get all stock items with stock groups and current stock position
Inventory & Stock,58,Batch details for batch-tracked items only,The batch view limited to items where batch tracking is switched on.,"Item, batch, quantity, manufacturing/expiry dates.",Nothing - runs as is,Get batch-wise stock details for items with batch tracking enabled
GST & Tax,25,GST liability summary,"How much GST you collected, how much you paid, and what is finally payable.","Outward tax, inward tax, net GST liability.",Nothing - runs as is,"Provide outward tax, inward tax and net GST liability"
GST & Tax,44,GSTR-2B reconciliation for a period,"Matches your purchase entries against the GST portal's GSTR-2B, so you can see which input credit is matched, missing or extra.","Matched, mismatched and missing invoices with supplier, invoice number, tax amounts.",From date and To date,What is my GSTR-2B reconcilation between {{cust_from_date}} and {{cust_to_date}}
Ledgers & Accounting,28,All transactions of one particular account,"The full statement of any ledger you name - a customer, a vendor, an expense head, a bank.","Date, voucher number, particulars, debit, credit, running balance.",The ledger / account name,provide me transaction of {{ledger_name}}
Ledgers & Accounting,33,"Last 12 months daybook, month by month","A year of every entry passed, grouped month-wise - good for trend checks and audits.","Month-wise daybook entries with date, voucher type, party, amount.",Nothing - runs as is,Extract last 12 months Daybook entries grouped by month
Ledgers & Accounting,36,Entries added or changed this week,An audit-trail view of what your team entered or edited recently.,"Date, voucher number, type, party, amount, creation time.",Nothing - runs as is,"Extract all vouchers entered or altered this week. Return Date, Voucher no, type, party, amount, creation time."
Ledgers & Accounting,48,All ledgers with group and opening balance,Your complete chart of accounts and what each account opened with.,"Ledger name, group, opening balance.",Nothing - runs as is,Get all ledger accounts with their group classification and opening balances
Ledgers & Accounting,54,"Journals, debit notes and credit notes for a period","All adjustment entries in a chosen period, with the accounts they hit.","Voucher number, date, type, ledger entries, amounts.",From date and To date,"Get all journal, debit note, and credit note vouchers with ledger entries between {{cust_from_date}} to {{cust_to_date}}"
Ledgers & Accounting,62,Trial balance for a date range,The accountant's summary - every account with its debit or credit balance.,"Ledger name, group, debit, credit, closing balance.",From date and To date,Get trial balance data between {{cust_from_date}} to {{cust_to_date}}
Orders & Quotations,20,Pending sales orders,Orders taken from customers that are still to be delivered or billed.,"Order number, date, customer, item, pending quantity and value.",Nothing - runs as is,any pending sales order
Orders & Quotations,31,All sales quotations,Every quote you have sent out - useful for follow-up on business not yet closed.,"Quotation number, date, customer, items, value.",Nothing - runs as is,Provide me all sales quotation data
Reports & MIS,11,Weekly MIS for the last 7 days,The week's business summary in one shot - the standard Monday-morning review sheet.,"Sales, purchases, expenses, collections and payments for the last 7 days.",Nothing - runs as is,Give WEEKLY MIS data for the last 7 days. This week
Reports & MIS,30,"Total profit, and profit by cost/profit centre","How much you actually made overall, and which branch, division or project made it.",Total profit plus profit for each cost/profit centre.,Nothing - runs as is,Give me total Profit and also provide for each cost/profit center
Reports & MIS,56,Receivables and payables ageing together,Both sides of the ageing picture in one report - what is stuck coming in and what is stuck going out.,Party-wise ageing buckets for receivables and payables.,Nothing - runs as is,Get receivables and payables aging reports
Reports & MIS,57,Dashboard summary for a date range,The headline numbers for any period - the one-screen business snapshot.,"Sales, purchases, expenses, receivables, payables, cash and bank for the period.",From date and To date,Get dashboard summary metrics between {{cust_from_date}} to {{cust_to_date}}
Reports & MIS,61,Sales and purchases by state and city (calculated),Which regions your business is coming from and going to. Calculated from party addresses plus sales and purchase totals.,State and city with total sales and total purchase value.,Nothing - runs as is,"Computed rollup (not a Tally pull). Reads Parties sheet, Sales Voucher totals, Purchase Voucher totals. Aggregates by state and city"
Master Data & Setup,16,Customers and suppliers with missing details,"A clean-up list showing whose GSTIN, address or mobile number is blank in your books.","Party name, type, and which of GSTIN / address / mobile is missing.",Nothing - runs as is,"Give me all customers and suppliers with missing or blank GSTN, Address, or Mobile"
Master Data & Setup,19,All customer details,Your full customer list with contact and tax information.,"Customer name, address, GSTIN, contact number, email.",Nothing - runs as is,give me all customers details
Master Data & Setup,26,All vendor details,Your full supplier list with contact and tax information.,"Vendor name, address, GSTIN, contact number, email.",Nothing - runs as is,Provide all vendors details
Master Data & Setup,47,Companies available in Tally,Which company books this connection can read - the first thing to check when data looks wrong.,"Company name, financial year, status.",Nothing - runs as is,Get a active companies configured in Tally
Master Data & Setup,49,All parties with contact details and credit terms,"Customers and suppliers together, including the credit days and limits agreed with each.","Party name, type, contact details, credit period, credit limit.",Nothing - runs as is,Get all parties (customers and suppliers) with contact details and credit terms
Master Data & Setup,64,List of all ledger names,A simple name list of every account in your books - handy for picking the exact name to use in other reports.,Ledger names.,Nothing - runs as is,Give me all ledger name
